307200,640x480,699,852,1082,1569,3237,5409,,307200,640x480,521,714,1122,1809,3133,5370,,307200,640x480,736,1281,1939,3763,12715,16654,,307200,640x480,793,1042,1467,2349,5131,9457,,307200,640x480,615,904,1507,2589,5027,9418,,307200,640x480,605,1170,1907,4042,10373,17648,,307200,640x480,2420,4311,8024,15467,30660,59794,,307200,640x480,2242,4173,8064,15707,30556,59755,,307200,640x480,4607,9035,18186,37487,72293,148452
360000,800x450,795,897,1801,1547,2579,6582,,360000,800x450,555,660,1055,1669,2360,4256,,360000,800x450,681,1214,1712,3372,11933,15123,,360000,800x450,887,1098,2221,2419,4759,11366,,360000,800x450,647,861,1475,2541,4540,9040,,360000,800x450,615,1142,1975,4136,10382,18380,,360000,800x450,2966,5248,10562,19118,37522,76178,,360000,800x450,2726,5011,9816,19240,37303,73852,,360000,800x450,5195,10776,21001,42655,83954,171181
400000,800x500,759,830,1048,1633,2810,5358,,400000,800x500,500,581,1017,1897,2912,5182,,400000,800x500,682,1340,1915,3482,12345,15944,,400000,800x500,859,1035,1464,2476,4838,9911,,400000,800x500,600,786,1433,2740,4940,9735,,400000,800x500,597,1189,1953,4141,10355,18352,,400000,800x500,2894,5124,9653,18825,36889,73283,,400000,800x500,2635,4875,9622,19089,36991,73107,,400000,800x500,4837,10677,20991,42025,82397,167909
480000,800x600,888,867,1194,1790,3172,6360,,480000,800x600,534,695,1346,1802,3469,5963,,480000,800x600,736,1342,2051,3849,12759,16719,,480000,800x600,967,1038,1553,2532,5043,10332,,480000,800x600,613,866,1705,2544,5340,9935,,480000,800x600,602,1222,1978,4153,10451,18433,,480000,800x600,2623,4324,8132,15613,31011,60657,,480000,800x600,2269,4152,8284,15625,31308,60260,,480000,800x600,4267,9399,18763,37031,73312,148025
589824,1024x576,929,1421,1902,1744,4773,6104,,589824,1024x576,656,843,1443,1955,3123,4985,,589824,1024x576,617,1261,1872,3424,12063,15460,,589824,1024x576,1020,1619,2313,2595,6916,10839,,589824,1024x576,747,1041,1854,2806,5266,9720,,589824,1024x576,635,1225,2006,4121,10438,18694,,589824,1024x576,3096,5800,10665,19263,39748,75604,,589824,1024x576,2823,5222,10206,19474,38098,74485,,589824,1024x576,5020,10513,21349,42973,84834,169679
655360,1024x640,1119,935,1570,2316,3312,6750,,655360,1024x640,667,904,1493,2172,3391,5806,,655360,1024x640,715,1362,1958,3660,12474,16079,,655360,1024x640,1206,1123,1960,3130,5357,11233,,655360,1024x640,754,1092,1883,2986,5436,10289,,655360,1024x640,660,1208,2058,4286,10506,18661,,655360,1024x640,3240,5207,10150,19554,37400,74685,,655360,1024x640,2788,5176,10073,19410,37479,73741,,655360,1024x640,5170,10548,20780,42069,84730,170363
786432,1024x768,1045,1209,1341,2084,3882,7682,,786432,1024x768,735,1092,1202,2425,3751,6643,,786432,1024x768,829,1385,2188,3988,12887,17118,,786432,1024x768,1121,1376,1689,2809,5726,11579,,786432,1024x768,811,1259,1550,3150,5595,10540,,786432,1024x768,724,1250,2064,4330,10611,19027,,786432,1024x768,2799,4701,8352,16193,32053,62784,,786432,1024x768,2489,4584,8213,16534,31922,61745,,786432,1024x768,4486,9246,18747,37468,72437,149044
921600,1280x720,778,968,1342,2054,4352,7457,,921600,1280x720,796,1036,1371,2230,3791,6034,,921600,1280x720,812,1267,1877,3520,12194,15660,,921600,1280x720,867,1159,1743,2891,6481,12135,,921600,1280x720,885,1227,1772,3067,5920,10712,,921600,1280x720,676,1267,2018,4302,10931,19004,,921600,1280x720,2939,5328,9937,19332,39221,76789,,921600,1280x720,2957,5396,9966,19508,38660,75366,,921600,1280x720,5308,10631,21210,42998,85554,169498
1024000,1280x800,858,1003,1380,2271,4281,8073,,1024000,1280x800,784,1132,1427,2327,3530,6492,,1024000,1280x800,786,1344,1959,3784,12601,16460,,1024000,1280x800,943,1187,1762,3058,6275,12474,,1024000,1280x800,869,1316,1809,3114,5524,10893,,1024000,1280x800,647,1262,2063,4348,11282,19164,,1024000,1280x800,2988,5288,9986,19483,38439,76369,,1024000,1280x800,2914,5417,10033,19539,37688,74788,,1024000,1280x800,5149,10605,21322,42385,84282,170398
1228800,1280x960,867,1261,1534,2530,5023,9630,,1228800,1280x960,755,1042,1705,2127,3998,7215,,1228800,1280x960,816,1447,2195,4223,13246,17587,,1228800,1280x960,953,1436,1887,3251,6809,13440,,1228800,1280x960,841,1217,2058,2848,5784,11025,,1228800,1280x960,656,1231,2063,4395,11495,19544,,1228800,1280x960,2646,4824,8678,16777,33269,65744,,1228800,1280x960,2534,4605,8849,16374,32244,63329,,1228800,1280x960,4411,9245,18888,37678,73984,149415
1296000,1440x900,907,1104,1629,2518,4950,9446,,1296000,1440x900,838,998,1827,2090,4117,7164,,1296000,1440x900,812,1507,2083,3924,12753,16690,,1296000,1440x900,989,1280,2000,3282,6873,13720,,1296000,1440x900,920,1174,2198,2854,6040,11438,,1296000,1440x900,700,1296,2111,4466,11561,19489,,1296000,1440x900,3035,5371,10185,19677,39033,77169,,1296000,1440x900,2966,5265,10383,19249,38200,74887,,1296000,1440x900,5172,10365,21467,43030,83051,167861
1555200,1440x1080,888,1180,1719,2927,5681,11148,,1555200,1440x1080,924,1204,1348,2674,4663,9012,,1555200,1440x1080,862,1491,2340,6676,13424,19991,,1555200,1440x1080,970,1348,2060,3617,7394,14822,,1555200,1440x1080,1006,1372,1689,3364,6376,12686,,1555200,1440x1080,675,1351,2285,6820,11887,22205,,1555200,1440x1080,2600,4638,8624,16718,32963,65265,,1555200,1440x1080,2636,4662,8253,16465,31945,63129,,1555200,1440x1080,4515,9341,18850,40153,74046,153806
2073600,1920x1080,963,1244,2445,3510,6391,13111,,2073600,1920x1080,846,1251,2003,2847,4832,9699,,2073600,1920x1080,701,1386,2265,4076,12724,17691,,2073600,1920x1080,1056,1432,2826,4287,8373,17482,,2073600,1920x1080,939,1439,2384,3624,6814,14070,,2073600,1920x1080,712,1311,2267,5154,12024,21553,,2073600,1920x1080,3151,5626,11230,21041,41312,82669,,2073600,1920x1080,3034,5633,10788,20378,39753,79257,,2073600,1920x1080,5252,10717,21414,43741,86343,173755
