480x360,0.3044,0.2821,0.2809,0.2887,0.2981,0.3531,0.313,0.3231,0.3344,0.1958,         ,480x360,0.5192,0.5708,0.6066,0.6851,0.7245,0.8278,0.8542,0.9299,1.0245,0.1943,         ,480x360,0.7242,0.8652,0.9235,1.0823,1.2007,1.3414,1.4353,1.5813,1.6891,0.1952,         ,480x360,0.5093,0.5537,0.6066,0.6934,0.1063,0.8307,0.9001,0.9409,1.0631,0.1938,         ,480x360,2.2528,2.3824,2.6875,2.9463,3.2188,3.4294,3.7319,3.8873,4.2596,0.1975,         
640x360,0.3102,0.3088,0.2898,0.293,0.3041,0.347,0.3302,0.3412,0.3462,0.2518,         ,640x360,0.5432,0.6268,0.6342,0.7463,0.7915,0.8715,0.9491,0.9594,1.0214,0.2548,         ,640x360,0.8009,0.9027,0.9698,1.1385,1.2236,1.4083,1.5077,1.655,1.842,0.2528,         ,640x360,0.5464,0.6182,0.6283,0.7068,0.1334,0.8555,0.9266,0.9835,1.0452,0.2515,         ,640x360,2.6208,2.7532,3.0309,3.2777,3.5603,3.7631,4.0928,4.3419,4.5844,0.2594,         
640x400,0.3369,0.3087,0.3121,0.3475,0.3306,0.3472,0.3579,0.3667,0.3755,0.276,         ,640x400,0.5795,0.6794,0.7004,0.8339,0.8676,0.9907,1.0518,1.1152,1.1614,0.2778,         ,640x400,0.8308,0.9742,1.0863,1.245,1.3594,1.5031,1.65,1.8337,1.9889,0.2762,         ,640x400,0.5714,0.6622,0.7046,0.8269,0.1448,0.9595,1.0629,1.1058,1.1956,0.2767,         ,640x400,2.7954,2.9467,3.3126,3.578,3.845,4.1125,4.4441,4.7438,5.0498,0.2811,         
640x480,0.5303,0.5146,0.5161,0.5325,0.5416,0.5541,0.5629,0.5769,0.5818,0.3246,         ,640x480,0.9633,1.0573,1.1864,1.3191,1.4526,1.5934,1.7135,1.8801,1.9958,0.3241,         ,640x480,1.4062,1.5869,1.8381,2.0549,2.3074,2.5889,2.8304,3.0659,3.3707,0.3281,         ,640x480,0.9513,1.0541,1.1869,1.3245,0.1681,1.6234,1.7363,1.8918,2.038,0.3276,         ,640x480,3.9352,4.3428,4.876,5.3955,5.9414,6.3612,6.9633,7.4695,8.0055,0.3306,         
800x450,0.6118,0.5833,0.5863,0.6101,0.6215,0.6316,0.6439,0.6559,0.6616,0.3779,         ,800x450,1.1102,1.2361,1.3708,1.5374,1.6798,1.8438,2.0083,2.1725,2.3171,0.3805,         ,800x450,1.6036,1.8734,2.1252,2.4513,2.7538,3.0941,3.3687,3.6584,3.9781,0.3798,         ,800x450,1.1073,1.2102,1.376,1.5215,0.1948,1.8412,2.0157,2.1622,2.3214,0.3799,         ,800x450,4.7083,5.1913,5.7639,6.4144,7.0333,7.5261,8.2572,8.8375,9.5256,0.3827,         
800x500,0.5963,0.5867,0.5952,0.5815,0.5999,0.6145,0.6194,0.6337,0.6417,0.4124,         ,800x500,1.0519,1.162,1.3105,1.4615,1.6338,1.7701,1.9161,2.0651,2.2695,0.4119,         ,800x500,1.5345,1.7825,2.058,2.3292,2.6012,2.9204,3.2568,3.5433,3.8737,0.4172,         ,800x500,1.0437,1.1899,1.3224,1.5017,0.2087,1.8149,1.9656,2.1157,2.2952,0.4153,         ,800x500,4.6407,5.0476,5.6333,6.2098,6.7216,7.3192,7.9637,8.4299,9.0443,0.4161,         
800x600,0.6083,0.5826,0.5875,0.6088,0.6282,0.6354,0.6414,0.6561,0.6639,0.4879,         ,800x600,1.1021,1.2161,1.37,1.5153,1.6919,1.8689,1.9926,2.1527,2.3135,0.4905,         ,800x600,1.6006,1.8893,2.1528,2.4351,2.7299,3.0599,3.3877,3.7013,4.0393,0.4899,         ,800x600,1.0837,1.213,1.3877,1.5236,0.2487,1.8827,2.0167,2.1923,2.312,0.4918,         ,800x600,5.3665,5.869,6.5114,7.1263,7.8054,8.2723,9.0275,9.5713,10.1466,0.4919,         
1024x576,0.8055,0.7852,0.7963,0.8173,0.8491,0.849,0.8502,0.8705,1.024,0.5762,         ,1024x576,1.5105,1.6907,1.8955,2.1311,2.3573,2.5814,2.809,3.0139,3.272,0.5903,         ,1024x576,2.3649,2.5792,3.0793,3.371,3.9077,4.3226,4.7073,5.1743,5.6003,0.5796,         ,1024x576,1.4983,1.6779,1.9183,2.1328,0.3071,2.611,2.8651,3.0515,3.3148,0.5854,         ,1024x576,6.9158,7.3708,8.4573,9.0363,10.12,11.0023,11.7278,12.6794,13.4835,0.5889,         
1024x640,0.8123,0.7972,0.8082,0.827,0.8508,0.8563,0.8649,0.9849,1.3499,0.6403,         ,1024x640,1.5327,1.7305,1.9551,2.1597,2.3905,2.6128,2.8445,3.1342,3.3535,0.6407,         ,1024x640,2.3942,2.6345,3.147,3.4496,4.0,4.4327,4.8488,5.2585,5.738,0.6547,         ,1024x640,1.524,1.703,1.9435,2.1807,0.3408,2.7036,2.9146,3.1997,3.4203,0.6273,         ,1024x640,7.1926,7.5771,8.7139,9.3474,10.4397,11.1877,12.0709,13.0034,13.7935,0.6271,         
1024x768,0.8207,0.8607,0.8495,0.9062,0.8756,0.8715,0.9062,1.0006,1.1642,0.7755,         ,1024x768,1.5848,1.8229,2.001,2.2277,2.4683,2.7054,2.9872,3.2238,3.7463,0.7675,         ,1024x768,2.6187,2.8793,3.4468,3.6763,4.3624,4.7716,5.2887,5.7297,6.2076,0.7725,         ,1024x768,1.584,1.7942,1.9598,2.2684,0.3969,2.774,3.0271,3.2561,3.5171,0.774,         ,1024x768,8.3099,8.8722,9.9137,10.6667,11.6501,12.4918,13.3429,14.2769,15.1282,0.7739,         
