172800,480x360,102,175,322,648,1556,3553,,172800,480x360,733,1173,1896,3649,12431,16180,,172800,480x360,182,351,691,1409,3486,7642,,172800,480x360,576,1108,1857,3942,10088,17239,,172800,480x360,1808,3672,7329,14673,29420,58785,,172800,480x360,4174,9160,17869,37561,74211,146887
230400,640x360,88,147,268,524,1222,2780,,230400,640x360,621,1203,1717,3179,11728,14765,,230400,640x360,183,352,693,1411,3445,7639,,230400,640x360,585,1130,1834,3900,9984,17327,,230400,640x360,2259,4511,9011,18063,36110,72226,,230400,640x360,4977,10666,20944,42275,83542,168349
256000,640x400,92,156,286,570,1413,3033,,256000,640x400,694,1184,1805,3370,12091,15449,,256000,640x400,182,352,692,1412,3524,7657,,256000,640x400,608,1194,1836,3872,10046,17209,,256000,640x400,2224,4450,8919,17836,35680,71180,,256000,640x400,4965,10080,20744,41869,82071,166900
307200,640x480,89,160,307,631,1566,3602,,307200,640x480,701,1226,1859,3620,12471,16227,,307200,640x480,183,350,692,1411,3460,7650,,307200,640x480,570,1115,1827,3899,10129,17221,,307200,640x480,1810,3619,7249,14529,28989,57987,,307200,640x480,4572,8980,18106,37344,72049,148025
360000,800x450,90,150,274,537,1255,2840,,360000,800x450,642,1155,1619,3208,11645,14590,,360000,800x450,182,351,694,1409,3435,7624,,360000,800x450,576,1083,1882,3972,10094,17847,,360000,800x450,2261,4501,9035,18108,36198,72436,,360000,800x450,5156,10717,20908,42491,83666,170648
400000,800x500,82,146,276,566,1386,3072,,400000,800x500,642,1266,1815,3307,12032,15302,,400000,800x500,182,351,692,1409,3414,7625,,400000,800x500,557,1115,1853,3966,10042,17710,,400000,800x500,2217,4440,8881,17758,35465,70997,,400000,800x500,4797,10603,20891,41850,82084,167267
480000,800x600,104,180,333,668,1634,3657,,480000,800x600,692,1270,1937,3653,12392,15986,,480000,800x600,183,351,692,1410,3505,7629,,480000,800x600,558,1150,1864,3957,10084,17700,,480000,800x600,1839,3637,7271,14491,29473,57954,,480000,800x600,4223,9327,18649,36835,72945,147292
589824,1024x576,92,154,283,562,1296,2902,,589824,1024x576,573,1177,1737,3202,11619,14515,,589824,1024x576,183,352,694,1413,3439,7637,,589824,1024x576,591,1141,1871,3899,9994,17749,,589824,1024x576,2259,4533,9046,18081,36271,72402,,589824,1024x576,4976,10429,21214,42751,84390,168734
655360,1024x640,96,164,302,602,1420,3160,,655360,1024x640,657,1273,1799,3370,11933,15155,,655360,1024x640,183,352,692,1416,3465,7643,,655360,1024x640,602,1119,1899,3996,9965,17737,,655360,1024x640,2217,4436,8882,17840,35508,71095,,655360,1024x640,5112,10459,20621,41779,84189,169439
786432,1024x768,107,185,344,690,1632,3741,,786432,1024x768,762,1281,2016,3678,12295,15867,,786432,1024x768,183,352,692,1415,3476,7638,,786432,1024x768,657,1146,1892,4020,10019,17776,,786432,1024x768,1861,3677,7355,14799,29803,58843,,786432,1024x768,4419,9142,18575,37158,71845,147793
921600,1280x720,94,159,292,570,1315,2971,,921600,1280x720,749,1164,1697,3181,11592,14441,,921600,1280x720,183,350,693,1407,3444,7649,,921600,1280x720,613,1164,1838,3963,10329,17785,,921600,1280x720,2255,4519,8887,17848,36184,72303,,921600,1280x720,5245,10528,21030,42659,84952,168279
1024000,1280x800,98,169,312,623,1440,3235,,1024000,1280x800,715,1227,1753,3382,11906,15074,,1024000,1280x800,183,353,694,1410,3434,7636,,1024000,1280x800,576,1145,1857,3946,10587,17778,,1024000,1280x800,2228,4454,8918,17835,35598,71531,,1024000,1280x800,5078,10488,21116,41983,83587,169012
1228800,1280x960,97,177,338,695,1722,3848,,1228800,1280x960,732,1316,1957,3725,12289,15836,,1228800,1280x960,183,352,691,1416,3508,7658,,1228800,1280x960,572,1100,1825,3897,10538,17793,,1228800,1280x960,1876,3740,7482,14942,29968,59962,,1228800,1280x960,4327,9114,18650,37180,73027,147664
1296000,1440x900,101,175,323,645,1555,3387,,1296000,1440x900,728,1369,1838,3488,11787,14904,,1296000,1440x900,183,351,694,1409,3478,7661,,1296000,1440x900,616,1158,1866,4030,10595,17703,,1296000,1440x900,2229,4442,8879,17804,35638,71110,,1296000,1440x900,5088,10227,21222,42594,82085,166075
1555200,1440x1080,100,183,352,719,1754,3963,,1555200,1440x1080,756,1308,2020,3856,12137,15519,,1555200,1440x1080,182,351,693,1409,3467,7637,,1555200,1440x1080,569,1168,1965,4000,10600,17733,,1555200,1440x1080,1812,3641,7257,14510,29036,58080,,1555200,1440x1080,4409,9158,18530,37333,72759,149334
2073600,1920x1080,90,164,313,633,1459,3259,,2073600,1920x1080,586,1182,1866,3364,11228,13877,,2073600,1920x1080,183,352,694,1410,3441,7630,,2073600,1920x1080,597,1107,1868,4442,10528,17739,,2073600,1920x1080,2278,4546,9098,18164,36380,72817,,2073600,1920x1080,5137,10513,21015,43029,84847,169941
